entry_time,entry_stock_price,entry_value,max_loss,tp1_value,target_value,size,direction,rsi_entry,atr_entry,adx_entry,signal_type,buy_strike,sell_strike,iv,expiry_date,confluences,entry_bar,exit_time,exit_value,pnl,result
2023-01-11 12:50:00+00:00,174.10494836666666,449.1891031841142,89.83782063682284,,383.48647019011605,3,long,72.661073741137,0.1586489499791071,20.35951054035711,break_and_retest (Long),175.10494836666666,179.10494836666666,0.4,2023-01-18 12:50:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",593,2023-01-11 13:20:00+00:00,462.67325602362416,13.484152839509989,profit
2023-01-17 15:25:00+00:00,172.91344997579273,448.2543081657873,89.65086163315746,,438.82352923920894,3,long,45.72181493447955,0.1703923010417161,14.464486766830342,bos (Long),173.91344997579273,177.91344997579273,0.4,2023-01-24 15:25:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",940,2023-01-17 15:55:00+00:00,460.8350954725488,12.580787306761522,profit
2023-01-19 10:30:00+00:00,173.76844044385427,448.9262918261069,89.78525836522138,,399.1575677054193,3,long,66.44180436314431,0.16348655024103784,33.04482793599217,bos (Long),174.76844044385427,178.76844044385427,0.4,2023-01-26 10:30:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",1039,2023-01-19 11:00:00+00:00,459.557833944266,10.631542118159132,profit
2023-01-30 13:05:00+00:00,175.56485042382698,450.3185149771667,90.06370299543335,,461.8941183584973,3,short,54.55264931835596,0.1817677881650653,12.693179077709345,bos (Short),176.56485042382698,180.56485042382698,0.4,2023-02-06 13:05:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",1623,2023-01-30 13:35:00+00:00,458.30955321060713,7.991038233440406,profit
2023-02-06 11:50:00+00:00,177.20106912607005,451.56389566870985,90.31277913374197,,455.6373818670444,3,long,43.27854333233733,0.19756007104630166,25.934343158817892,bos (Long),178.20106912607005,182.20106912607005,0.4,2023-02-13 11:50:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",2003,2023-02-06 12:20:00+00:00,447.5417794330973,-4.022116235612543,loss
2023-02-10 09:40:00+00:00,176.75950803333333,451.2299077383183,90.24598154766366,,494.7059193854535,3,short,33.30441652488436,0.17082657038497776,25.959684495429407,break_and_retest (Short),177.75950803333333,181.75950803333333,0.4,2023-02-17 09:40:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True}",2293,2023-02-10 10:10:00+00:00,464.59845542066705,13.368547682348776,profit
2023-02-14 13:15:00+00:00,177.69976053427908,451.93925030327546,90.3878500606551,,454.9728911862395,3,short,48.69018435306393,0.2034970187243024,19.56424820932623,break_and_retest (Short),178.69976053427908,182.69976053427908,0.4,2023-02-21 13:15:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",2494,2023-02-14 13:45:00+00:00,469.4668984449322,17.527648141656755,profit
2023-02-14 15:10:00+00:00,178.54040873333332,452.56759710904294,90.5135194218086,,428.51568675804754,3,long,68.14566184927025,0.17041588059341622,28.425599932396064,bos (Long),179.54040873333332,183.54040873333332,0.4,2023-02-21 15:10:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",2517,2023-02-14 15:40:00+00:00,444.3692786911001,-8.198318417942858,loss
2023-02-20 13:35:00+00:00,177.8781279100481,452.0730310895367,90.41460621790735,,478.04571667344646,3,short,40.07085500609438,0.15555036986864573,10.26773439636035,bos (Short),178.8781279100481,182.8781279100481,0.4,2023-02-27 13:35:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True}",2814,2023-02-20 14:05:00+00:00,463.6770447778723,11.604013688335613,profit
2023-02-22 14:55:00+00:00,179.43246954597518,453.2284113612526,90.64568227225053,,383.78790650601786,3,long,67.5567361642332,0.17670833504209055,23.071419406612698,bos (Long),180.43246954597518,184.43246954597518,0.4,2023-03-01 14:55:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",2988,2023-02-22 15:25:00+00:00,462.04966137823294,8.821250016980343,profit
2023-02-22 14:55:00+00:00,179.43246954597518,453.2284113612526,90.64568227225053,,383.78790650601786,3,long,67.5567361642332,0.17670833504209055,23.071419406612698,break_and_retest (Long),180.43246954597518,184.43246954597518,0.4,2023-03-01 14:55:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",2988,2023-02-22 15:25:00+00:00,462.04966137823294,8.821250016980343,profit
2023-02-24 13:55:00+00:00,180.91550953326524,454.3136405427326,90.86272810854653,,380.67686997482963,3,long,74.00734172864952,0.1618033327410263,43.82780977442153,bos (Long),181.91550953326524,185.91550953326524,0.4,2023-03-03 13:55:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3134,2023-02-24 14:25:00+00:00,455.02699140113737,0.7133508584047377,profit
2023-02-24 13:55:00+00:00,180.91550953326524,454.3136405427326,90.86272810854653,,380.67686997482963,3,long,74.00734172864952,0.1618033327410263,43.82780977442153,break_and_retest (Long),181.91550953326524,185.91550953326524,0.4,2023-03-03 13:55:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3134,2023-02-24 14:25:00+00:00,455.02699140113737,0.7133508584047377,profit
2023-02-24 14:50:00+00:00,181.3061271399901,454.59673990434123,90.91934798086825,,364.5558687093484,3,long,76.45980250159428,0.15837605316740508,43.78802895003903,bos (Long),182.3061271399901,186.3061271399901,0.4,2023-03-03 14:50:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3145,2023-02-24 15:20:00+00:00,442.2765217563182,-12.32021814802306,loss
2023-02-27 14:50:00+00:00,182.55555072843612,455.4947076993514,91.09894153987028,,364.65236343280264,3,long,77.56840438326853,0.17208787475216739,22.015491050320133,bos (Long),183.55555072843612,187.55555072843612,0.4,2023-03-06 14:50:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3224,2023-02-27 15:20:00+00:00,474.3427307453089,18.848023045957518,profit
2023-03-01 10:00:00+00:00,184.62802881485624,456.959307317603,91.39186146352061,,405.3291201650502,3,long,76.43768163592308,0.1555413215519887,20.11011932023281,bos (Long),185.62802881485624,189.62802881485624,0.4,2023-03-08 10:00:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3324,2023-03-01 10:30:00+00:00,461.4270403606248,4.467733043021781,profit
2023-03-03 15:00:00+00:00,184.5870277309829,456.9306286758163,91.38612573516326,,420.1488049295044,3,long,45.290706978616484,0.1686940431645632,11.277282611192865,bos (Long),185.5870277309829,189.5870277309829,0.4,2023-03-10 15:00:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3542,2023-03-03 15:30:00+00:00,461.24187912176285,4.311250445946541,profit
2023-03-06 15:00:00+00:00,185.3865383169392,457.48772662101874,91.49754532420376,,407.68512909157266,3,long,52.75674200682649,0.1780359762319518,32.145243612882055,bos (Long),186.3865383169392,190.3865383169392,0.4,2023-03-13 15:00:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3621,2023-03-06 15:30:00+00:00,459.2120449925389,1.7243183715201553,profit
2023-03-08 10:00:00+00:00,186.7611574647177,458.4351804445433,91.68703608890866,,454.9122577219549,3,long,57.67649905714883,0.1857363707933326,27.046987392436467,bos (Long),187.7611574647177,191.7611574647177,0.4,2023-03-15 10:00:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3719,2023-03-08 10:30:00+00:00,455.62981532112656,-2.8053651234167205,loss
2023-03-09 10:15:00+00:00,186.37811722730385,458.17247815084556,91.63449563016911,,484.14056256359925,3,short,47.839061027335866,0.16103827494037115,11.910606644913512,bos (Short),187.37811722730385,191.37811722730385,0.4,2023-03-16 10:15:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3801,2023-03-09 10:45:00+00:00,462.0998720050402,3.9273938541946336,profit
2023-03-09 15:10:00+00:00,188.21003626666663,459.41985951025686,91.88397190205137,,371.9886526392962,3,long,78.71148313955322,0.16595340891460414,30.112206473878583,break_and_retest (Long),189.21003626666663,193.21003626666663,0.4,2023-03-16 15:10:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3860,2023-03-09 15:40:00+00:00,457.4183667473065,-2.001492762950363,loss
2023-03-10 10:55:00+00:00,188.47596671875755,459.59905701839574,91.91981140367915,,416.1605361327936,3,long,62.45361378239348,0.1561270673548365,21.131685138912978,break_and_retest (Long),189.47596671875755,193.47596671875755,0.4,2023-03-17 10:55:00+00:00,"{'Uptrend': True, 'Downtrend': False, 'QQQ Aligned': True}",3888,2023-03-10 11:25:00+00:00,437.1712323905527,-22.42782462784305,loss
2023-03-14 12:30:00+00:00,186.17179840851057,458.0305605536452,91.60611211072904,,483.0559657997682,3,short,52.14741154778654,0.18909724818562776,13.840357044497548,break_and_retest (Short),187.17179840851057,191.17179840851057,0.4,2023-03-21 12:30:00+00:00,"{'Uptrend': False, 'Downtrend': True, 'QQQ Aligned': True}",4065,2023-03-14 13:00:00+00:00,470.42938794088866,12.398827387243443,profit
